frame_index,x_pos_mm,y_pos_mm,u_vel_mm/sec,v_vel_mm/sec,sig2noise
0,9.2944,5.906,0.22451,-1.437,1.2979
0,4.0808,0.95045,0.24186,-0.16431,1.4254
0,4.2914,1.177,0.37078,-0.38893,1.6173
0,4.5024,1.4031,0.58053,-0.47109,1.4196
0,4.7142,1.629,0.72155,-0.61537,1.3374
0,4.9268,1.8549,0.81712,-0.6199,1.2871
0,5.1404,2.081,0.82445,-0.61885,1.2532
0,5.3554,2.3076,0.78627,-0.63373,1.3148
0,5.5717,2.5347,0.75713,-0.69534,1.3527
0,5.7896,2.7626,0.65902,-0.71724,1.31
0,6.0092,2.9915,0.59004,-0.73264,1.4039
0,6.2307,3.2215,0.50431,-0.90919,1.3528
0,6.4543,3.4529,0.44983,-0.97385,1.3156
0,6.68,3.6858,0.40508,-1.0119,1.3653
0,6.908,3.9204,0.34987,-1.0273,1.3001
0,7.1384,4.1568,0.33899,-1.0869,1.3958
0,7.3711,4.3951,0.38104,-1.1718,1.3203
0,7.6063,4.6354,0.36061,-1.2437,1.2935
0,7.8437,4.8778,0.38118,-1.0647,1.3663
0,8.0834,5.1223,0.37217,-1.3277,1.3723
0,8.3251,5.3688,0.37322,-1.3379,1.425
0,8.5686,5.6172,0.26434,-1.3215,1.502
0,8.8134,5.8673,0.27899,-1.3425,1.4423
0,9.0591,6.1188,0.24749,-1.4052,1.3899
0,3.8627,1.1569,0.3904,-0.37254,1.032
0,4.0729,1.383,0.16249,-0.41004,1.3
0,4.2835,1.6088,0.56735,-0.44696,1.6923
0,4.4948,1.8345,0.66827,-0.53037,1.448
0,4.7069,2.0602,0.73726,-0.5253,1.3576
0,4.9199,2.2862,0.77404,-0.55371,1.3899
0,5.1342,2.5127,0.81425,-0.6079,1.2633
0,5.3498,2.7398,0.72721,-0.67049,1.2489
0,5.5669,2.9678,0.71649,-0.55579,1.3153
0,5.7857,3.1967,0.57431,-0.66939,1.2843
0,6.0064,3.427,0.50207,-0.84617,1.2798
0,6.2291,3.6586,0.4757,-0.92037,1.3227
0,6.4539,3.8918,0.46277,-1.0105,1.3747
0,6.6809,4.1268,0.39551,-1.099,1.3418
0,6.9103,4.3636,0.29672,-1.1764,1.2794
0,7.1421,4.6024,0.36891,-1.1175,1.3387
0,7.3763,4.8433,0.28873,-1.195,1.423
0,7.6128,5.0863,0.23479,-1.106,1.3254
0,7.8517,5.3315,0.34473,-1.2955,1.3757
0,8.0926,5.5788,0.3401,-1.272,1.3085
0,8.3353,5.828,0.34098,-1.2627,1.3431
0,8.5796,6.079,0.33568,-1.3582,1.2887
0,8.8249,6.3316,0.28832,-1.3584,1.3995
0,3.6455,1.3622,0.38789,-0.35893,1.0071
0,3.8554,1.5881,0.14432,-0.36738,1.3547
0,4.0657,1.8136,0.54462,-0.41732,1.6768
0,4.2765,2.0391,0.58725,-0.50669,1.4145
0,4.4881,2.2647,0.7888,-0.54817,1.3165
0,4.7006,2.4907,0.80981,-0.56213,1.3149
0,4.9142,2.7171,0.81555,-0.62137,1.3402
0,5.1292,2.9443,0.73967,-0.66532,1.279
0,5.3456,3.1723,0.77559,-0.63044,1.3426
0,5.5636,3.4015,0.69775,-0.73922,1.2247
0,5.7835,3.632,0.52445,-0.844,1.2916
0,6.0053,3.8639,0.45902,-0.85922,1.3441
0,6.2292,4.0975,0.47627,-0.9263,1.3201
0,6.4553,4.3328,0.43591,-1.0881,1.2637
0,6.6838,4.5702,0.34705,-1.1275,1.2923
0,6.9146,4.8095,0.31572,-1.1391,1.2464
0,7.1478,5.0511,0.28777,-1.1913,1.4057
0,7.3834,5.2948,0.32507,-1.2243,1.4429
0,7.6213,5.5407,0.37552,-1.2534,1.3495
0,7.8614,5.7888,0.42834,-1.4074,1.3068
0,8.1034,6.0389,0.39766,-1.4936,1.2996
0,8.347,6.2909,0.20019,-1.6965,1.2267
0,8.5918,6.5444,0.36285,-1.3617,1.2529
0,3.4291,1.5667,0.39153,-0.3552,1.0005
0,3.6387,1.7923,0.24206,-0.19427,1.2486
0,3.8487,2.0177,0.52265,-0.375,1.6249
0,4.0591,2.243,0.56733,-0.45918,1.5101
0,4.2703,2.4686,0.7816,-0.49369,1.5614
0,4.4823,2.6945,0.76324,-0.5224,1.5093
0,4.6954,2.921,0.78958,-0.58029,1.4009
0,4.9097,3.1483,0.78749,-0.68561,1.2927
0,5.1254,3.3765,0.76975,-0.74382,1.3667
0,5.3428,3.6059,0.67313,-0.71955,1.3251
0,5.5619,3.8367,0.57359,-0.79785,1.4029
0,5.7828,4.069,0.56253,-0.914,1.3293
0,6.0059,4.303,0.49051,-0.90231,1.2885
0,6.2311,4.5388,0.3066,-0.91697,1.2306
0,6.4586,4.7767,0.35714,-1.1076,1.2889
0,6.6885,5.0167,0.35675,-1.135,1.3258
0,6.9208,5.2589,0.31133,-1.197,1.4068
0,7.1554,5.5033,0.33535,-1.2111,1.3518
0,7.3924,5.7501,0.34873,-1.213,1.442
